title,year,runtime,genres
Transformers: War for Cybertron: Earthrise,2020,24,action scifi
Wizards: Tales of Arcadia,2020,24,action scifi
EDENS ZERO,2021,24,action scifi
Transformers: War for Cybertron: Kingdom,2021,24,action scifi
Word of Honor,2021,43,action scifi
Wolverine,2011,24,action scifi animation
Cyborg 009: Call of Justice,2017,24,action scifi animation
Heaven Officials Blessing,2020,24,action scifi animation
revisions,2019,22,action scifi animation
Edgar Rice Burroughs Tarzan and Jane,2017,21,action scifi animation comedy drama family
Voltron: Legendary Defender,2016,24,action scifi animation comedy drama family fantasy
Japan Sinks: 2020,2020,26,action scifi animation drama
Fate/Apocrypha,2017,24,action scifi animation drama fantasy
Drifting Dragons,2020,24,action scifi animation fantasy
ReBoot: The Guardian Code,2018,23,action scifi comedy drama
The Legend of Korra,2012,23,action scifi comedy drama family fantasy animation
Transformers: Rescue Bots,2012,22,action scifi comedy family animation
The Seven Deadly Sins,2014,24,action scifi comedy fantasy animation
Ash vs Evil Dead,2015,30,action scifi comedy horror fantasy thriller
Knight Rider,1982,51,action scifi crime drama
Arcane,2021,41,action scifi drama fantasy animation
The Orbital Children,2022,32,action scifi drama fantasy animation
Merlin,2008,44,action scifi drama fantasy european
The Thundermans,2013,24,action scifi family comedy drama
Dinosaur King,2007,21,action scifi family western animation
KILL la KILL,2013,25,action scifi fantasy animation comedy drama
Trollhunters: Tales of Arcadia,2016,22,action scifi fantasy animation comedy drama family
The Protector,2018,43,action scifi fantasy drama
Blade,1998,120,action scifi horror
Resident Evil: Infinite Darkness,2021,27,action scifi horror animation
Beyblade Burst Rise,2019,0,action scifi sport thriller animation fantasy
Mob Psycho 100,2018,24,action scifi thriller
Thus Spoke Kishibe Rohan,2017,24,action scifi thriller animation drama fantasy
Power Rangers Ninja Steel,2017,24,action scifi thriller drama
All of Us Are Dead,2022,61,action scifi thriller drama fantasy horror
Memories of the Alhambra,2018,68,action scifi thriller drama romance
Wynonna Earp,2016,43,action scifi western drama fantasy thriller
Thaandavam,2012,167,action thriller
Sigaram Thodu,2014,147,action thriller
Baadshaho,2017,136,action thriller
SAS: Red Notice,2021,124,action thriller
Shadow Parties,2021,116,action thriller
6 Underground,2019,127,action thriller comedy
Yaksha: Ruthless Operations,2022,125,action thriller crime
S Storm,2016,90,action thriller crime drama
Sacred Games,2018,50,action thriller crime drama
Reprisal,2018,89,action thriller crime drama
Falsa identidad,2018,43,action thriller crime drama
Point Blank,2017,86,action thriller crime drama
Don 2,2011,139,action thriller crime european
The Vault,2021,118,action thriller crime fantasy
Al Hayba,2017,45,action thriller crime romance drama
Last Flight to Abuja,2012,81,action thriller drama
Private Lives,2020,67,action thriller drama crime romance
Drug Squad: Costa del Sol,2019,68,action thriller drama romance
Kingdom,2019,48,action thriller drama scifi horror history
Unknown,2011,113,action thriller european
Blade: Trinity,2004,106,action thriller fantasy horror scifi
Blade Runner: The Final Cut,2007,117,action thriller scifi
The Mask of Zorro,1998,136,action thriller western comedy romance
Rogue Warfare: Death of a Nation,2020,103,action war
When Heroes Fly,2018,48,action war drama
The Last Kingdom,2015,55,action war drama history european
Bo on the Go!,2007,22,animation
DreamWorks Spooky Stories,2009,26,animation
Thomas & Friends: Thomas and the Jet Engine,2004,67,animation
Bheem vs Aliens,2010,69,animation
Chhota Bheem & Krishna: Pataliputra- City of the Dead,2010,65,animation
Cocomong,2008,13,animation
Thermae Romae,2012,27,animation
Chhota Bheem and the Broken Amulet,2012,63,animation
Chota Bheem Aur Ganesh in the Amazing Odyssey,2012,65,animation
